epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,2360.9,0.3986,0.24306,0.80311,0.98979,0.98873,0.99127,0.898,0.41555,0.22173,0.80532,0.00040716,0.00040716,0.00040716
171,2375.1,0.38864,0.23635,0.80081,0.99291,0.98871,0.99162,0.89942,0.40942,0.21845,0.80287,0.000402084,0.000402084,0.000402084
172,2389.38,0.38829,0.23934,0.79937,0.99271,0.98761,0.99112,0.89949,0.4077,0.21843,0.80428,0.000397019,0.000397019,0.000397019
173,2403.57,0.39163,0.24055,0.80031,0.99337,0.98789,0.99163,0.90073,0.41214,0.21781,0.80412,0.000391966,0.000391966,0.000391966
174,2417.82,0.39426,0.24131,0.80247,0.99297,0.98823,0.99173,0.89645,0.416,0.2179,0.80397,0.000386926,0.000386926,0.000386926
175,2431.89,0.3902,0.23835,0.80248,0.99229,0.98923,0.99177,0.90023,0.41191,0.21721,0.80455,0.000381899,0.000381899,0.000381899
176,2446.05,0.38762,0.23868,0.80092,0.99287,0.98646,0.99166,0.89303,0.41903,0.21745,0.80637,0.000376885,0.000376885,0.000376885
177,2460.1,0.38148,0.23421,0.79879,0.9923,0.9887,0.992,0.89841,0.41276,0.21687,0.8038,0.000371885,0.000371885,0.000371885
178,2473.98,0.38449,0.23661,0.79977,0.99242,0.98979,0.9918,0.90034,0.40914,0.21628,0.80603,0.000366899,0.000366899,0.000366899
179,2488,0.38534,0.236,0.79991,0.99255,0.98987,0.99278,0.89623,0.4119,0.21603,0.80448,0.000361929,0.000361929,0.000361929
180,2502.12,0.38654,0.23655,0.79943,0.99313,0.9908,0.99198,0.89784,0.41065,0.21504,0.80276,0.000356975,0.000356975,0.000356975
181,2516.21,0.38242,0.23521,0.79633,0.99372,0.99177,0.99171,0.9023,0.40274,0.21479,0.80139,0.000352037,0.000352037,0.000352037
